Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,C19666
C2,0805,1,22uF,C45783
"C3, C5, C9",0805,3,10uF,C15850
C4,0603,1,100nF,C14663
C6,0805,1,47uF,C76636
"C7, C8",0805,2,100nF,C49678
D1,0603,1,White LED,C2290
D2,SMF5_0A_C19077497,1,SMF5_0A_C19077497,C19077497
D3,0603,1,LED White,C2290
J3,TYPE-C16PIN,1,USB_C_Receptacle_USB2.0_16P,C393939
MICRO_SD1,TF-01A,1,TF-01A,
R1,0603,1,10K,C25804
"R10, R9",0603,2,5.1K,C23186
"R11, R13, R14, R8",0603,4,10kΩ,C25804
R12,0603,1,2.2K,C4190
"R4, R5",0603,2,5.1kΩ,C23186
R6,0603,1,1kΩ,C21190
R7,0603,1,2kΩ,C22975
"SW2, SW3",SW_SPST_B3U-1000P,2,SW_SPST,C720477
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,Texas_DSQ0010A_WSON-10-1EP_2x2mm_P0.4mm_EP0.9x1.5mm,1,BQ24040DSQR,C81080
U3,Texas_DRT-3,1,TPD2EUSB30,
U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,
U5,WAFER-PH2_0-2PWZ,1,WAFER-PH2_0-2PWZ,C5359610
U7,ED08907M-FB15C7_0-C10-2049,1,ED08907M-FB15C7_0-C10-2049,C18213496
