Designator,Mid X,Mid Y,Rotation,Layer
C1,197.49,-84.36,0.0,top
C2,197.2625,-76.5,90.0,top
C3,209.91,-81.91,0.0,top
C4,209.85,-78.72,0.0,top
C5,159.64,-96.79,270.0,top
C6,191.59,-65.39,0.0,top
C7,191.52,-68.88,0.0,top
C8,193.18,-96.63,270.0,top
C9,191.06,-96.63,270.0,top
D1,168.57,-72.27,0.0,top
D2,209.9638,-86.3438,0.0,top
D3,168.6375,-74.69,0.0,top
J3,209.329997,-94.13,90.0,top
MICRO_SD1,206.6194,-64.7618,90.0,top
R1,159.81,-91.03,90.0,top
R10,171.94,-72.3,180.0,top
R11,193.43,-60.13,180.0,top
R12,172.0,-74.7,180.0,top
R13,193.34,-71.13,180.0,top
R14,193.45,-61.98,180.0,top
R4,202.06,-92.69,90.0,top
R5,200.52,-90.54,270.0,top
R6,192.18,-86.98,90.0,top
R7,193.85,-87.76,90.0,top
R8,202.03,-86.14,180.0,top
R9,162.46,-93.45,270.0,top
SW2,153.8,-91.2,90.0,top
SW3,153.68,-96.26,90.0,top
U1,179.38,-92.15,180.0,top
U2,197.3025,-86.54,0.0,top
U3,192.49,-81.555,270.0,top
U4,203.1525,-80.33,180.0,top
U5,197.7392,-92.3775,180.0,top
U7,160.791,-59.81,270.0,top
